0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
SteepDecrease,29.31067619,29.51582425,30.27328117,29.50621722,30.28015118,30.26800119,29.52357139,29.67900905,29.80618528,30.48603773,30.64340419,30.32007372,30.02063948,31.39544132,29.95162129,29.83974397,29.68676278,29.67666355,29.52015678,29.67707075,30.09228803,29.58397473,30.23239804,30.34894107,30.33582436,23.0,24.0,23.0,23.0,24.0,24.0,23.0,23.0,22.0,24.0,22.0,23.0,24.0,23.0,23.0,23.0,23.0,24.0,24.0,22.0,23.0,23.0,23.0,24.0,23.0,22.0,22.0,22.0,22.0,23.0,23.0,22.0,22.0,23.0,23.0,23.0,24.0,22.0,22.0,24.0,24.0,23.0,22.0,24.0,23.0,22.0,24.0,22.0,22.0,22.0,22.0,23.0,24.0,24.0,22.0,24.0,24.0,22.0,22.0,24.0,22.0,22.0,24.0,23.0,22.0,24.0,23.0,24.0,24.0,22.0,24.0,22.0,24.0,24.0,22.0,BladeAccumulatorPressureIssues
signal_sensor_fail,31.67968429,30.10542881,28.69512022,28.88753566,0.0,28.80800122,29.39584301,28.31100356,29.18788956,28.60108547,0.0,31.98116692,29.15276118,29.38862355,30.57129674,31.02553291,29.76401669,28.37367573,29.22902822,0.0,28.70667481,32.38641887,30.7995044,30.71462639,29.15603037,30.96504062,29.51722891,29.311895399999997,27.00662663,0.0,30.41971801,30.02650433,28.69204757,31.47270759,29.81380195,28.45641047,29.72515298,29.07301694,30.66562131,30.43929691,29.23578213,26.61975151,30.91233928,0.0,30.44407901,29.39233112,30.55810356,28.11206404,33.30906187,29.7488287,30.14805653,29.96753702,28.63642437,30.21815657,0.0,31.99268368,29.32976448,30.15724812,30.33402599,30.49999541,28.32130964,29.7285397,0.0,29.85969389,30.40106054,29.53621707,29.61648401,28.86238273,30.87290898,29.10631162,29.71530372,0.0,30.70928124,30.80634933,32.35321041,28.58504665,30.61449183,28.78354874,0.0,30.13956184,29.91301503,29.83316176,28.84966554,29.92966307,30.76084826,28.64551161,30.35143237,31.16845287,31.27573619,29.58031805,0.0,30.51518712,30.15475067,29.48568255,31.09225288,29.329394899999997,31.01308777,31.52580318,27.59676872,30.98591543,Anemometer errors
Slope1,29.61517422,29.496357399999997,29.83052804,30.19917691,29.68095381,30.16078187,30.11693739,30.20332762,30.15587975,29.21258904,29.49458707,29.70120242,29.94621213,30.05381083,30.06759426,29.87317613,29.90698048,30.34271387,29.84844469,29.55291376,28.0,28.0,27.0,27.0,28.0,27.0,27.0,27.0,27.0,27.0,26.0,26.0,27.0,27.0,26.0,26.0,27.0,26.0,27.0,27.0,26.0,26.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,26.0,24.0,25.0,25.0,25.0,24.0,25.0,25.0,25.0,25.0,24.0,24.0,23.0,24.0,23.0,24.0,23.0,24.0,24.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,22.02858224,22.02323536,20.89912608,22.11067617,22.16999256,21.62660687,21.59069274,22.16029782,21.02840074,21.91861495,22.24425043,22.75396211,22.59683049,22.31295819,21.95959976,21.94953053,21.27222658,22.48418556,21.77434503,21.93366056,CoolingSystemIssues
b'Linear_rise_with_decreasing_ends',31.51282691,32.35370318,28.19560279,29.3515875,32.64477283,32.54785507,33.52220862,30.87601472,34.01157704,33.72895877,34.20800359,31.56085088,36.12341777,35.57735521,34.54861344,33.6404784,35.74513286,37.16264117,42.4183714,37.53723057,41.12387511,37.78409933,41.27442292,38.99683161,39.09299779,42.78691476,38.60701924,39.01628793,41.193634,44.93683497,44.58827687,42.22230158,40.29245548,38.415894200000004,44.21979448,36.46402583,44.4462506,46.11972571,41.59816738,49.57713012,44.91411678,46.40797023,48.99094704,46.46328412,45.16482899,52.78698281,45.42097652,50.85442757,49.87534605,45.61910196,50.44250532,50.42754999,51.51613256,49.91525097,49.39679587,51.43850218,49.51327659,52.72921792,57.05382268,52.57559862,52.653620200000006,53.87424432,50.75260015,54.85526042,51.46137601,53.04524937,55.49402039,53.37190141,56.00672201,57.37314696,58.15147413,55.78502602,56.59589952,58.09161397,58.89020442,60.46776305,63.96513357,57.20098694,61.50666608,61.37227518,60.13354525,58.08992243,61.00433637,63.04571158,63.81756233,61.45397281,65.0522466,62.41343074,67.63545684,64.25607379,62.75711399,68.28422954,61.53020728,64.38073554,68.32055343,68.36982321,65.94034187,66.22088562,68.57537085,70.0,Oil Leakage
Slope4,30.63062791,29.471764500000003,29.8110031,29.87359809,29.40096584,29.64062354,30.55648044,29.94654738,29.91974291,29.65025714,29.54430509,30.54000538,29.91920748,30.06691853,29.53228781,30.27955946,30.24619169,30.22407622,29.725374199999997,29.7601003,30.21174289,29.93644122,29.40645385,29.61623573,29.12135241,29.64036439,30.66290969,29.49505025,29.88863161,30.1544037,30.3299309,30.91765927,30.3693151,29.933960100000004,30.22764429,30.44382737,30.14749209,29.70541224,30.54826593,30.31464404,26.0,26.0,27.0,27.0,26.0,27.0,27.0,27.0,26.0,26.0,26.0,26.0,26.0,25.0,27.0,26.0,25.0,26.0,26.0,25.0,24.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,21.49562763,22.92960993,22.61405865,22.00287974,22.15353468,21.56129648,21.82636939,22.27235282,22.47654278,21.47127898,22.03341735,22.01598815,21.90728401,22.01209365,21.71362803,21.50531798,21.95344883,22.46264474,21.2649285,21.69401542,CoolingSystemIssues
b'Linear_rise_with_constant_ends',30.26435468,28.06134116,31.66470744,30.41147686,30.78654434,29.01686701,30.57917155,29.59243145,28.62007357,32.54849088,30.49417165,30.48380052,29.42012601,29.09465132,28.79594655,27.06224114,28.30487227,28.18837725,31.28877342,30.13875591,29.73447809,30.84199159,29.32194619,30.12237072,30.95149371,27.67243114,26.30421925,31.08313043,28.75560654,34.42696371,30.97334503,28.26552173,30.98178526,30.20800431,27.93711139,28.65009699,26.58628878,30.64518523,32.17836435,29.08322747,29.35683763,27.25282514,32.30712457,36.67562225,32.46174768,32.83066166,37.21170169,36.24564715,36.07469698,36.52574667,39.76948205,38.24767001,39.92047041,42.75149355,43.22356338,42.64761802,45.61549769,43.02016987,43.6010452,45.44268126,48.98857798,51.79440661,54.07571014,48.44300918,53.75988879,51.05873494,57.97321673,52.31739992,53.10248734,53.63728372,57.03951874,57.03422092,58.95161381,57.4312014,62.78578249,61.80506754,62.18385678,63.85514995,62.56275471,61.67611623,64.00385975,69.11884481,67.08371294,67.38741043,66.3451681,65.65268418,67.04314357,66.06389856,66.83511705,64.63151491,65.44643979,65.10411417,70.0,64.77730764,67.96271858,66.14562068,63.41869436,67.58129636,67.41817137,65.06269946,Oil Leakage
signal_sensor_fail,30.68062506,28.12301008,0.0,28.98924158,29.02570563,30.56121954,30.4475528,30.33221158,29.84251663,30.63365697,31.04338842,30.55860393,31.67350982,29.99720451,29.85902566,30.91876149,30.98683722,0.0,30.72032679,0.0,31.63444534,0.0,28.86628976,28.71108638,30.06516142,30.21526348,31.14092188,30.45747067,29.18957631,28.64222168,30.5432999,31.29234813,32.36711855,30.5667973,0.0,29.15598355,31.25236772,28.50685692,31.22426482,30.45793148,28.42867323,28.97689264,30.75530662,30.26758709,30.78518116,28.62551392,29.50260471,31.33341915,28.54931578,32.70111911,30.82022661,29.41350023,28.53510652,30.18235365,32.32061178,29.61749471,29.22539159,31.80587836,30.28737623,0.0,30.41414024,28.50888246,30.46449312,29.89830936,30.47395464,32.82202774,31.57321029,30.56499116,29.79437227,31.72924951,30.13168392,31.39581332,30.52145191,32.63808304,29.99014577,30.53852312,0.0,29.03155858,30.07736333,29.80324233,0.0,29.481511800000003,28.55672621,30.22153092,30.78452157,30.16713902,30.8766025,29.74109507,29.54699893,30.90768838,28.70270873,28.94786466,29.93050619,30.49517613,0.0,30.60376467,0.0,29.77308613,28.92703622,31.56528617,Anemometer errors
Slope1,30.24620693,30.24636123,29.71410659,30.40201613,29.5061517,29.4921728,29.85762071,30.03076314,29.70681197,29.83271123,31.12588615,30.06161514,30.15083783,29.51923631,29.8688467,29.16767011,30.37504267,29.97940723,30.00424876,29.45314312,27.0,28.0,27.0,28.0,27.0,27.0,27.0,27.0,28.0,28.0,26.0,26.0,26.0,26.0,27.0,26.0,27.0,26.0,27.0,27.0,25.0,26.0,26.0,26.0,26.0,25.0,26.0,25.0,25.0,25.0,24.0,25.0,25.0,25.0,25.0,24.0,25.0,25.0,25.0,25.0,24.0,24.0,24.0,23.0,24.0,24.0,23.0,24.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,21.36910456,22.12418666,21.95715268,22.31726757,21.60724649,22.39358356,22.87445643,22.30876647,22.58203757,21.98055317,21.62714078,21.52248636,22.35248083,21.69310648,21.66882466,21.92309333,22.24022398,21.77950231,22.39471333,23.04279098,CoolingSystemIssues
signal_suuden_rise_fall,29.92880869,30.06568238,30.23173221,28.91250455,30.16287485,30.55022853,29.50445279,28.83516357,28.67746602,30.49384666,29.55005457,28.67241367,30.50790129,31.62533534,29.18409404,29.22756256,69.0,65.0,67.0,67.0,67.0,65.0,66.0,69.0,67.0,69.0,67.0,65.0,67.0,67.0,69.0,65.0,66.0,66.0,68.0,68.0,65.0,69.0,67.0,66.0,65.0,67.0,65.0,66.0,68.0,67.0,69.0,68.0,69.0,67.0,67.0,65.0,68.0,68.0,68.0,69.0,67.0,68.0,69.0,69.0,68.0,66.0,68.0,66.0,66.0,69.0,67.0,69.0,67.0,65.0,68.0,68.0,65.0,65.0,66.0,67.0,67.0,31.884444199999997,29.21796868,29.57074549,31.396877000000003,28.51456371,29.87874518,29.10494708,30.53059472,30.11284961,29.81000533,29.28245973,28.52231855,30.43534565,30.08694472,30.92452672,31.81553196,29.56985045,30.9724497,29.45824682,29.16818888,31.15014126,29.29200492,29.76004239,Generator speed discrepancies
Slope7,30.17498551,31.02532967,30.402477500000003,29.88012051,29.7093152,29.98948394,29.33231322,29.45502913,30.59102922,30.01294331,29.88528932,30.09927205,30.08403599,30.04135275,30.25195053,29.9859666,29.83978427,29.66871216,29.87698692,29.48050953,30.03292076,30.03785702,29.10505096,29.38564818,30.03306071,29.11881204,29.562631500000002,30.38066036,30.50981756,29.37404118,30.12412927,29.8549505,30.83266001,29.51767406,30.01752844,30.91621545,29.47866977,30.30115438,30.43237575,30.0263359,29.67687096,30.16278557,30.55503249,30.28706618,30.00700878,29.95418453,29.59694576,29.01176898,29.80236581,29.63438925,30.40322633,30.22029974,29.98618189,31.00752522,29.43378536,29.58151031,30.48007712,30.58721868,30.88942617,29.65209037,30.67096919,29.29923019,29.73649159,30.14063776,29.52046603,31.38186882,29.91569585,29.89946998,30.36634957,30.20331975,25.0,26.0,27.0,26.0,25.0,26.0,27.0,25.0,27.0,26.0,22.36877391,21.85864579,21.82791771,22.54652946,21.93129279,23.20317119,22.41949906,21.89377712,21.83949032,21.47835185,23.02837312,21.83721575,22.40062572,22.23727671,22.12797141,21.15664385,22.50996783,22.17389205,22.25145421,21.68027372,CoolingSystemIssues
Slope4,30.40329845,29.74737491,29.58068669,29.93565183,30.27325487,29.48549176,30.32938367,30.28975822,30.50737258,29.54250972,29.90539487,29.75911358,30.93290542,29.9848712,30.13461502,30.55951192,30.11265657,29.781987199999996,30.47817749,30.36728276,30.782737400000002,30.38772599,30.25808721,29.83250162,30.1369922,30.5385283,30.19848016,30.24002667,30.20156047,29.67617129,30.05078557,29.27505703,29.95226022,29.55629518,29.95553585,29.64687893,29.74161347,29.62804104,29.54371623,29.83826286,26.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,27.0,27.0,27.0,27.0,25.0,25.0,25.0,25.0,26.0,27.0,25.0,26.0,25.0,23.0,25.0,23.0,25.0,24.0,25.0,25.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,22.81136703,21.98100626,22.00010365,21.82495416,22.37833361,22.68269459,21.47561758,22.3760331,22.25239036,21.42628151,22.05796977,21.16094374,22.61546387,22.58202487,21.878748100000003,21.69448082,21.84077922,21.87690413,22.37936502,22.02727488,CoolingSystemIssues
b'Convex_increase_with_constant_ends',31.91782899,39.09686464,37.54722293,41.93255057,42.24285669,43.32794881,43.72012336,47.84304985,46.64195026,48.51528424,45.56972281,50.13603621,51.30028301,50.95590593,48.06581321,49.92353863,52.56512212,47.25399391,49.85612191,50.89172615,52.85653465,53.55624766,50.86981333,56.21967326,55.52269488,55.82608089,55.01969421,55.47862016,56.04697125,51.06882934,54.13600613,56.27541582,53.38930951,58.74419666,56.75988276,56.43051425,57.95459145,57.74571984,55.99903013,60.22611427,58.85886968,61.73578464,57.60546089,55.92130452,58.53898639999999,59.87785315,58.39240266,56.68707917,60.58766234,59.87402911,60.41280617,62.06121565,62.68882538,61.55220944,60.12441933,61.68525882,61.61587248,60.86764557,58.64282687,59.54045574,61.80293731,64.04064825,59.9515966,62.05025993,63.6907189,61.17934857,64.16363736,63.28723233,64.27320966,60.92415932,64.93497159,63.94996917,63.73356534,66.68771502,62.16801811,67.31754988,62.18405938,63.93162605,63.97053373,63.55596539,64.51859544,66.40998846,70.0,63.19576388,66.38863259,65.94884457,65.53661506,66.56106728,67.32346699,67.80490011,64.19363591,69.94256052,64.96866771,65.82434868,68.1052831,68.4215907,67.43405483,66.93800345,64.44524787,66.78933222,Overheated oil
signal_sensor_fail,28.822074199999996,29.33184406,28.67149168,29.15673001,29.78691894,30.88487191,30.72800993,0.0,31.14751296,29.14658026,30.02136161,27.21196398,28.75775735,30.10403448,29.27848919,29.96119552,30.77709024,26.78169513,29.59543018,31.13299265,29.39633707,0.0,29.55135063,31.15514584,30.82715772,30.78647709,30.51443704,30.479079,31.74966475,30.48637362,30.26883215,31.54731701,28.93213366,32.37251076,30.20516596,0.0,27.99378132,30.88887528,0.0,29.95165968,28.24922636,28.39313782,31.73604638,31.45480609,30.16077976,31.36252267,29.67627253,30.3045928,29.01908835,29.55401645,29.27175566,29.49100103,0.0,30.65433706,29.29800187,30.57224356,29.179785499999998,0.0,30.12293908,29.68681185,29.72432021,31.365784100000003,30.0101744,28.541704600000003,30.90836789,30.94595505,27.4828967,31.27162405,30.30250324,29.88148058,0.0,29.33487234,30.867257799999997,28.90963825,29.10027683,31.38627398,28.72803015,29.262552399999997,32.26841902,0.0,29.47472977,30.37763801,30.04240513,29.01832539,28.80744198,29.48283479,30.63937832,29.08971586,30.86535492,31.04601477,0.0,30.24659827,29.23345407,30.62882104,30.31003601,30.56480403,30.23350302,0.0,30.54745628,30.91345759,Anemometer errors
signal_suuden_rise_fall,31.26167507,30.1582631,31.844800899999996,30.83583813,29.91647776,28.36394265,29.07300653,30.05102878,29.19779616,28.17434869,29.03808818,28.81982843,29.49731684,29.68856531,29.36295849,30.55617004,29.9865765,31.61212193,31.20715038,30.5786596,29.59882435,28.88728742,31.53792314,28.23050685,28.97483687,30.57900099,30.19558734,30.49335232,30.18512413,28.82682012,32.26181522,69.0,67.0,67.0,68.0,65.0,65.0,68.0,65.0,65.0,69.0,67.0,68.0,69.0,68.0,66.0,69.0,65.0,65.0,69.0,65.0,66.0,69.0,67.0,66.0,66.0,66.0,65.0,67.0,67.0,67.0,66.0,66.0,65.0,66.0,67.0,69.0,66.0,66.0,66.0,66.0,67.0,65.0,66.0,66.0,68.0,67.0,68.0,66.0,66.0,65.0,28.36221817,30.73995238,28.23876766,29.43480578,31.38524513,30.41845218,32.31463045,32.03467549,29.72389694,29.1823208,30.63411866,29.06513941,30.04168079,31.87854138,30.21460621,30.72652084,28.24733026,29.91576602,28.70670182,Generator speed discrepancies
